resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-04-01,local-authority-eng:GED,"""6/18""","Rolleston Drive (NCC Offices), Rolleston Drive, Arnold",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=459156.4895%2C345341.8172%2C459664.4905%2C345566.3828%2C27700,yes,owned by a public authority,not permissioned,,,53.003151,-1.116093,3.64,140,140,2017-04-01,,The site is proposed for allocation in the Local Planning Document (site H1). Site is still subject to Policy E3 of the Replacement Local Plan.,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,"""6/20""","Bestwood Business Park, Park Road, Bestwood Village",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=454511.8131%2C347084.9794%2C455527.8151%2C347534.1105%2C27700,,not owned by a public authority,permissioned,outline planning permission,,53.020485,-1.180971,6.01,,,2017-04-01,,The site is proposed for allocation in the Local Planning Document (site H13). Information received in March 2017 indicates that for the foreseeable future the owners see the Business Park as remaining as an employment site.. Up to 220 dwellings,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,"""6/49""","Brookfields Garden Centre, Mapperley Plains, Arnold",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=460072.4945%2C345540.4172%2C460580.4955%2C345764.9828%2C27700,yes,not owned by a public authority,pending decision,,,53.004843,-1.102291,3.52,90,106,2017-04-01,,The site is proposed for allocation in the Local Planning Document (site H2). The site is within the Green Belt. Planning application (2017/0155) for up to 32 apartments on part of the site submitted and is currently being determined.,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,"""6/7""","Meadow Road Industrial Site, Meadow Road, Carlton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461579.5008%2C340811.1175%2C461884.3014%2C340945.8568%2C27700,,not owned by a public authority,not permissioned,,,52.961695,-1.082693,1.18,35,35,2017-04-01,,Information received in 2017 indicates that the landowners hope to develop the site before 2028.,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,"""6/73""","Bestwood Hotel, Park Road, Bestwood Village",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=455218.2047%2C347463.6553%2C455523.0053%2C347598.3947%2C27700,yes,not owned by a public authority,permissioned,full planning permission,,53.022232,-1.175968,0.15,,,2017-04-01,,The conversion of the hotel into 6 flats has been completed in June 2016 (2012/1275). The remainder of the site has planning permission for a new block of 6 flats which is currently under construction (2015/0803).. A block of 6 x 2 bed apartments,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,6/1003,"Ernehale Court, Cross Street, Arnold",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=458368.7847%2C345761.9253%2C458673.5853%2C345896.6647%2C27700,yes,not owned by a public authority,permissioned,full planning permission,,53.006626,-1.129476,0.27,,,2017-04-01,,Planning permission for residential development (2016/0624) granted in August 2016. Information from the SHLAA 2017 consultation states that the construction of the site is currently underway.. 6 x 2 bed houses and 12 x 1 bed apartments,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,6/1015,"Gedling Care Home, Waverley Avenue, Carlton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461963.3197%2C342164.4553%2C462268.1203%2C342299.1947%2C27700,yes,not owned by a public authority,permissioned,full planning permission,,52.973869,-1.076445,0.14,,,2017-04-01,,Planning permission for residential development (2014/0169) granted in May 2016. Information from the SHLAA 2017 consultation states that the construction of the site is currently underway.. 14 x 2 bed apartments,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,6/1034,"Derwent Crescent, Derwent Crescent, Arnold",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=459243.7447%2C344565.7303%2C459548.5453%2C344700.4697%2C27700,yes,not owned by a public authority,not permissioned,,,52.995723,-1.11654,0.55,9,16,2017-04-01,,The owners are interested in selling the garage area for housing development and the site has potential to deliver 9 homes.,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,6/154,"Mansfield Lane (110-112), Mansfield Lane, Calverton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461538.5347%2C349711.9003%2C461843.3353%2C349846.6397%2C27700,yes,not owned by a public authority,permissioned,full planning permission,,53.041747,-1.081313,0.11,,,2017-04-01,,Site is currently under construction (2004/1471).. 3 x 3 bed detatched houses with garages and 3 x 3 bed townhouses,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,6/209,"Burton Road, Burton Road, Carlton",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=461332.0797%2C341454.1303%2C461636.8803%2C341588.8697%2C27700,yes,owned by a public authority,not permissioned,,,52.967558,-1.085982,0.08,8,8,2017-04-01,,Planning permission (2006/0202) for 3 dwellings lapsed in April 2009. Information received in 2017 indicates that the site has potential to deliver 8 apartments.,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
2018-05-22,2017-04-01,local-authority-eng:GED,6/216,"Fraser Street (Site of 36), Fraser Street, Newstead",http://www.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&extent=451851.9647%2C352718.5703%2C452156.7653%2C352853.3097%2C27700,yes,not owned by a public authority,permissioned,full planning permission,,53.069822,-1.225325,0.2,,,2017-04-01,,Planning permission for residential development (2016/0917) granted in October 2016. Information received in 2017 indicates work on site has started.. 8 x 4 bed semi-detached dwellings,27e2184afbcfa61b9b65af09a0200a1c256f750e54d86199dafecf7877b17f9c,Gedling Borough Council
