resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR1,"137-139 King Street, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2568&p=0,yes,not owned by a public authority,permissioned,full planning permission,,52.604397,1.729122,0.04,6,6,2017-12-20,,06/04/0783/F. Conversion to 6 flats,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR10,"5-6 Nelson Road South, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2577&p=0,yes,not owned by a public authority,permissioned,full planning permission,,52.600079,1.733408,0.02,5,5,2017-12-20,,06/15/0647/F. Change of use from hostel to 6 residential flats,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR11,"5 Deneside, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2578&p=0,yes,not owned by a public authority,permissioned,full planning permission,,52.605811,1.729079,0.02,5,5,2017-12-20,,06/13/0083/F. Redevelopment of former builders yard to four apartments and one house,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR12,"Deneside House, Deneside, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2579&p=0,yes,not owned by a public authority,permissioned,full planning permission,,52.605957,1.728988,0.02,6,6,2017-12-20,,06/15/0558/F. Conversion of existing building to 6 flats,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR13,"Peters Car Sales, Acle New Road, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2580&p=0,yes,not owned by a public authority,permissioned,outline planning permission,,52.613857,1.720927,0.12,14,14,2017-12-20,,06/15/0584/O. 14 Apartments,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR14,"Abbeville Lodge, Acle New Road, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2581&p=0,yes,not owned by a public authority,permissioned,outline planning permission,,52.6135,1.721118,0.12,16,16,2017-12-20,,06/15/0587/O. Erection of 2 apartment blocks comprising 16 units,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR15,"Watsons Bakery, 6 Howard Street North, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2582&p=0,yes,not owned by a public authority,permissioned,outline planning permission,,52.608637,1.725035,0.05,6,6,2017-12-20,,06/15/0634/O. Demolition of part of bakery and erection of starter homes,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR16,"Former Shepherd Engineering Premises, Riverside Road, Gorleston, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2583&p=0,yes,not owned by a public authority,permissioned,outline planning permission,,52.584174,1.728938,0.06,5,5,2017-12-20,,06/15/0736/O. Demolition of workshop and erection of 5 houses,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR17,"1 Woodfarm Lane, Gorleston, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2584&p=0,yes,not owned by a public authority,permissioned,full planning permission,,52.559743,1.711515,0.02,7,7,2017-12-20,,06/16/0781/F. Demolition of existing building and erection of 7 dwellings,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
2018-05-22,2017-12-20,local-authority-eng:GRY,BFR18,"Horatio House, Southtown Road, Gorleston, Great Yarmouth",https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2585&p=0,yes,not owned by a public authority,permissioned,outline planning permission,,52.598537,1.723837,0.5,24,24,2017-12-20,,06/15/0348/O. Demolition of existing buildings and erection of 24 residential units,e897f9b6fb2a6d2de1282a6a1376cf5bd2fc15a3a08dda1ed805ffb647480b74,Great Yarmouth Borough Council
