resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name,lad17nm
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR001,"Land Bounded By Somerleyton Road, Coldharbour Lane And Railway",https://maps.london.gov.uk/brownfield-site-register,yes,mixed ownership,permissioned,full planning permission,,51.460578,-0.109487,1.61,,,2017-12-15,,"Lambeth Local Plan allocated site (Site 14). “Demolition of existing buildings (with the exception of Carlton Mansions) and redevelopment to provide a residential-led, mixed use development comprising 304 new dwellings and non-residential uses including a theatre (Sui Generis) and employment, retail and community uses (Use class B1/D1/A1/A2).”",ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR018,260 Knight's Hill,https://maps.london.gov.uk/brownfield-site-register,,not owned by a public authority,pending decision,,,51.423352,-0.106364,0.11,,,2017-12-15,,". “Erection of two 3-storey terraces with basement level and roof terrace level, providing  6 dwelling houses together with an attached commercial unit to one of the terraces.”",ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR019,"John Vetch House, Elms Road",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,pending decision,,,51.4571,-0.141687,0.09,,,2017-12-15,,. Demolition of the existing building and garages for the construction of a residential building with 15 dwellings with highway access and associated works,ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR020,2-7 Stockwell Green,https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,pending decision,,,51.468723,-0.119964,0.09,,,2017-12-15,,". “Demolition of the existing building and erection of a new building between two and six storeys in height, to provide a mixed-use scheme comprising of retail floorspace at ground floor and 24 residential units comprising of 10 x 1 bed, 10 x 2 beds and 4 x 3 beds across the development and associated landscaping.”",ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR021,"Land to rear of Viking House, Denmark Road",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,pending decision,,,51.471207,-0.09894,0.08,,,2017-12-15,,. Erection of a 2 storey building to provide 4 x 3 bed dwelling houses and 4 x 1 bed apartments to land at the rear of Viking House.,ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR022,184 Larkhall Lane,https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,pending decision,,,51.470376,-0.13284,0.06,,,2017-12-15,,". “Demolition of existing vacant public house and erection of a five storey (plus basement) building to provide a ground floor/basement commercial unit (Use Class A1, A2, A3 or A4) and 14 residential units above.”",ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR023,143-149 Railton Road,https://maps.london.gov.uk/brownfield-site-register,,not owned by a public authority,pending decision,,,51.457049,-0.106495,0.04,,,2017-12-15,,. Demolition of existing vacant health centre and erection of 3 storey building with additional mansard roof level to provide 10 self-contained flats (Use Class C3).,ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR024,2-4 Hercules Road,https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,pending decision,,,51.498517,-0.112816,0.02,,,2017-12-15,,. Demolition of 2 existing properties (2 & 4 Hercules Road) and construction of eight storey development with two basement levels to create flexible retail use at ground and basement level and 8 residential dwellings above.,ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR025,Central Hill Estate,https://maps.london.gov.uk/brownfield-site-register,,owned by a public authority,not permissioned,,,51.420577,-0.086702,6.86,,,2017-12-15,,. Redevelopment of Central Hill Estate to provide additional homes.,ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
2018-05-22,2017-12-15,local-authority-eng:LBH,BLR026,Cressingham Gardens,https://maps.london.gov.uk/brownfield-site-register,,owned by a public authority,not permissioned,,,51.446745,-0.111599,4.2,,,2017-12-15,,. Redevelopment of Cressingham Gardens Estate to provide additional homes.,ff3eb8bccf873f1e2c9894121d498805c0722cb5c15c4e5b5db50201459899ea,London Borough of Lambeth,E09000022
