resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-11,local-authority-eng:MDB,BR1,"Newbridge Court, Rievaulx Court, Tollesby",https://www.middlesbrough.gov.uk/files/brownfields-register-br1-newbridge-courtjpg,yes,not owned by a public authority,permissioned,full planning permission,,54.546247,-1.241174,0.24,21,21,2017-12-11,,. Revised application for demolition of existing buildings and erection of 3 storey building comprising of 1no. ground floor convenient store (A1) and 1no. Ground floor unit for use as either shop (A1) offices (A2) cafe (A3) or hot food shop (A5) with 21no flats,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR10,4-6 Park Road North,https://www.middlesbrough.gov.uk/files/brownfields-register-br10-4-6-park-road-northjpg,yes,not owned by a public authority,permissioned,full planning permission,,54.566987,-1.239413,0.03,8,8,2017-12-11,,". Change of use from A4 drinking establishement with 2nd floor flat to 8 student cluster flats (1 3B, 6 2B & 1 5B), basement conversion, external alterations, enclosed rear yard and front boundary fencing.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR11,"Centre North East, Albert Road",https://www.middlesbrough.gov.uk/files/brownfields-register-br11-centre-north-eastjpg,yes,not owned by a public authority,permissioned,other,,54.576926,-1.234943,0.15,300,300,2017-12-11,,. Prior notification of proposed change of use from offices (B1) to dwellings (C3).,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR12,"L/S Middlesbrough Dock, Middlehaven",https://www.middlesbrough.gov.uk/files/brownfields-register-br12-ls-middlesbrough-dockjpg,,owned by a public authority,not permissioned,,,54.577477,-1.224103,1.89,40,40,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR13,"Former Police Station Site, Dunning Street",https://www.middlesbrough.gov.uk/files/brownfields-register-br13-former-police-station-sitejpg,,not owned by a public authority,not permissioned,,,54.573647,-1.233736,0.23,580,580,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR14,282-290 Linthorpe Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br14-282-290-linthorpe-roadjpg,,not owned by a public authority,not permissioned,,,54.567984,-1.239255,0.09,16,16,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR15,7-13 Waterloo Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br15-7-13-waterloo-roadjpg,yes,not owned by a public authority,permissioned,outline planning permission,,54.568794,-1.238065,0.04,60,60,2017-12-11,,. Outline planning permission for erection of 1no student accommodation building comprising 60no units (demolition of existing building),9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR16,"L/B Rochester Rd, Eastbourne Rd and Mulgrave Rd",https://www.middlesbrough.gov.uk/files/brownfields-register-br16-lb-rochester-rd-eastbourne-rd-and-mulgrave-rdjpg,yes,not owned by a public authority,permissioned,full planning permission,,54.55798,-1.237617,0.16,6,6,2017-12-11,,. Erection of 6no 2 bed detached bungalows,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR17,Station Street,https://www.middlesbrough.gov.uk/files/brownfields-register-br17-station-streetjpg,,not owned by a public authority,permissioned,full planning permission,,54.579116,-1.23747,0.19,337,337,2017-12-11,,". Erection of 7 storey student accommodation building comprising 337 student studios (Class C3) and ancillary space (Retail - A1, Cafe - A3 and takeaway - A5)",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR18,"Former Liberty's PH, Longlands Road, Longlands",https://www.middlesbrough.gov.uk/files/brownfields-register-br18-former-libertys-phjpg,,not owned by a public authority,not permissioned,,,54.566457,-1.220956,0.27,8,8,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR19,"Former St David's School, Cowley Road, Acklam",https://www.middlesbrough.gov.uk/files/brownfield-register-br19-former-st-davids-school-cowley-roadjpg,,not owned by a public authority,not permissioned,,,54.540728,-1.251231,6.5,115,115,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR2,"Addington Drive, Pallister Park",https://www.middlesbrough.gov.uk/files/brownfields-register-br2-addington-drivejpg,yes,not owned by a public authority,permissioned,full planning permission,,54.567464,-1.203088,0.38,19,19,2017-12-11,,". Residential development comprising 19no two storey dwellings in 2 Phases (13 2bed and 6 3bed) with associated access, car parking landscaping and boundary treatment. Demolition of existing buildings.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
2018-05-22,2017-12-11,local-authority-eng:MDB,BR20,45-49 Albert Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br20-45-49-albert-roadjpg,,not owned by a public authority,permissioned,other,,54.576907,-1.234835,0.05,11,11,2017-12-11,,". Conversion of former retail use (A1)  and Office (B1) to 11 residential flats (C3),    6 1B and 5 3B units.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4,Middlesbrough Borough Council
