resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10008983021,"Land Adjacent 1, Abbey Street, Plaistow, London, E13 8DT",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,permissioned,full planning permission,,51.523201,0.02205,0.04,8,9,2017-11-29,,". Erection of residential building comprising of 4 x 3 bedroom and 4 x 1 bedroom flats including cycle parking on the ground floor, refuse storage and car parking in the basement",75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10008983303,"356 Barking Road, Plaistow, London, E13 8HL",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,permissioned,full planning permission,,51.52162,0.021568,0.02,5,7,2017-11-29,,". Demolition of existing semi detached and terraced properties at 356 and 358 Barking Road, E13 and erection of a new mixed use building containing A1 (dry cleaners) in the basement and ground floors, 3 x 1 bed flats and 2 x 3 bed flat across the first, se",75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10008994570,"117-125 Freemasons Road, Canning Town, London, E16 3PH",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,pending decision,full planning permission,,51.513855,0.024986,0.05,14,18,2017-11-29,,"Pending signing of S106 agreement.  Lapsed permission for 14 units (08/00319/FUL).. Redevelopment of 18 residential units (7x3 bed,  8x2bed and 3x1bed) over 6 floors.",75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10008994946,"45 Beckton Road, Canning Town, London, E16 4EA",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,permissioned,full planning permission,,51.517407,0.016868,0.03,8,10,2017-11-29,,". Construction of five storey building comprising commercial unit B1a at ground floor, 6 x three bedroom flats and 2 x one bedroom flats in the upper floors and roof space.",75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10009013135,"617 Barking Road, Plaistow, London, E13 9EZ",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,permissioned,full planning permission,,51.528182,0.032327,0.05,7,8,2017-11-29,,". Demolition of the existing building and erection of a new three storey building comprising 8 self-contained flats (3 x 3 bed, 1 x 2 bed and 4 x 1 bed) with two on-site parking spaces and secure storage for 12 cycles.",75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10012839901,"Land Rear Of The Ship Public House, Bramall Close, Stratford, London, E15 1RR",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,permissioned,full planning permission,,51.550137,0.011267,0.02,5,6,2017-11-29,,". Proposed three storey building comprising 5 no. flats ( 2 x 1 bed, 2 x 2 bed and 1 x 3 bed) with green roof and provisions for solar PV panels on the roof, car free development with provision for bicycle storage",75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10014034532,"Land At, 100 To 104 Dames Road, Forest Gate, London, E7 0EB",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,permissioned,full planning permission,,51.554878,0.0221,0.06,9,10,2017-11-29,,". Demolition of existing semi-derelict structures and the erection of a new build block of 9 apartments consisting of 4 x 3 bed, 2 x 2 bed and 3 x 1 bed",75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10023997529,"24-34 Sixth Avenue, Manor Park, London, E12 5PP",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,permissioned,full planning permission,,51.552438,0.055939,0.04,7,7,2017-11-29,,. Demolition of existing 1 and 2 storey mixed use (B1a and B8) buildings and erection of a terrace of 7 three storey town houses with associated cycle parking and removal of existing cross overs.,75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10034508058,"The Victoria Cross, Jack Cornwell Street, Manor Park, London, E12 5NN",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,permissioned,full planning permission,,51.551883,0.063058,0.12,9,10,2017-11-29,,". Proposed redevelopment of site to provide an A4 Use and 9 self-contained residential units comprising of 1 x 5 bedroom house, and 1 x 1 bedroom, 4 x 2 bedroom and 3 x 3 bedroom flats, including refuse storage, cycle storage and car parking spaces",75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
2018-05-22,2017-11-29,local-authority-eng:NWM,UPRN:10034508497,"72 Ranelagh Road, East Ham, London, E6 2SH",https://lbn-mobile.maps.arcgis.com/apps/View/index.html?appid=6976b8909c3449b8848abdfceb052823,yes,not owned by a public authority,permissioned,full planning permission,,51.530497,0.062581,0.04,5,7,2017-11-29,,". Demolition of existing buildings and erection of part two storey and part three storey buildings and basement to create 5No. residential units comprising of 2 x 3 Bedroom Houses, 2 x 1 Bedroom and 1 x 2 Bedroom Flats with associated basement car parking,",75b8d41b90e59eb0f52feed73a50fa01b7d2096e98e47bfefd944d7b77205dd3,London Borough of Newham
